ID,bias,label
0,none,none
1,none,none
2,none,hate
3,none,hate
4,others,hate
5,none,hate
6,others,hate
7,none,hate
8,gender,hate
9,none,none
10,gender,hate
11,gender,hate
12,none,none
13,others,hate
14,none,none
15,gender,hate
16,none,hate
17,gender,hate
18,none,none
19,none,none
20,gender,hate
21,none,hate
22,others,hate
23,none,hate
24,none,hate
25,none,hate
26,gender,hate
27,none,none
28,none,hate
29,none,none
30,others,hate
31,gender,hate
32,none,hate
33,others,hate
34,none,hate
35,gender,hate
36,none,hate
37,none,none
38,none,hate
39,none,hate
40,others,hate
41,none,hate
42,others,hate
43,none,none
44,none,none
45,none,hate
46,none,hate
47,none,none
48,none,none
49,gender,hate
50,others,hate
51,none,none
52,none,hate
53,gender,hate
54,none,hate
55,others,none
56,gender,hate
57,none,none
58,none,hate
59,none,hate
60,none,hate
61,gender,none
62,none,none
63,gender,hate
64,none,hate
65,none,hate
66,none,hate
67,none,hate
68,none,none
69,gender,hate
70,none,none
71,none,hate
72,none,hate
73,none,hate
74,gender,hate
75,none,hate
76,gender,hate
77,others,hate
78,gender,hate
79,none,hate
80,others,hate
81,none,hate
82,others,hate
83,none,none
84,none,hate
85,none,hate
86,none,hate
87,others,hate
88,gender,hate
89,none,none
90,none,none
91,none,hate
92,none,hate
93,none,hate
94,none,hate
95,gender,none
96,none,hate
97,others,hate
98,none,hate
99,none,hate
100,none,hate
101,none,hate
102,none,hate
103,none,none
104,gender,hate
105,none,hate
106,none,hate
107,none,hate
108,none,hate
109,none,none
110,none,none
111,none,hate
112,none,hate
113,none,hate
114,others,hate
115,others,hate
116,others,hate
117,none,hate
118,none,hate
119,none,hate
120,none,none
121,none,hate
122,none,hate
123,others,none
124,none,hate
125,none,hate
126,gender,hate
127,gender,none
128,none,none
129,gender,hate
130,none,hate
131,none,hate
132,none,none
133,gender,hate
134,none,hate
135,none,none
136,none,none
137,none,hate
138,none,hate
139,none,none
140,none,none
141,none,hate
142,gender,hate
143,none,hate
144,none,hate
145,none,hate
146,none,none
147,none,hate
148,none,hate
149,none,hate
150,none,hate
151,none,none
152,none,none
153,gender,hate
154,gender,hate
155,none,hate
156,none,hate
157,others,hate
158,none,hate
159,none,none
160,none,hate
161,gender,hate
162,none,none
163,none,hate
164,gender,hate
165,gender,none
166,none,hate
167,others,none
168,others,hate
169,none,hate
170,gender,hate
171,none,none
172,none,hate
173,none,none
174,gender,hate
175,others,hate
176,gender,none
177,none,hate
178,gender,hate
179,none,hate
180,none,hate
181,others,none
182,gender,hate
183,others,hate
184,others,hate
185,others,hate
186,none,hate
187,others,hate
188,none,hate
189,none,none
190,none,hate
191,others,hate
192,others,hate
193,none,hate
194,none,none
195,none,hate
196,gender,hate
197,none,hate
198,none,hate
199,none,none
200,none,none
201,none,hate
202,gender,none
203,none,hate
204,gender,hate
205,others,hate
206,none,none
207,none,hate
208,none,hate
209,others,hate
210,others,hate
211,others,hate
212,none,hate
213,none,hate
214,none,none
215,gender,hate
216,gender,none
217,none,hate
218,none,hate
219,none,hate
220,none,hate
221,none,hate
222,none,hate
223,none,hate
224,none,hate
225,none,hate
226,others,none
227,none,none
228,others,hate
